Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Squad\MemberView.g.i.cs,73,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Squad\MemberView.g.i.cs,73,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Squad\MemberView.g.i.cs,70,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/squad/memberview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Squad\MemberView.g.i.cs,70,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/squad/memberview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Squad\MemberView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public MemberView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Squad\MemberView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public MemberView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Squad\MemberView.g.i.cs,56,97,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Squad\MemberView.g.i.cs,56,62,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\PowerItemView.g.i.cs,73,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\PowerItemView.g.i.cs,73,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\PowerItemView.g.i.cs,70,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/poweritemview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\PowerItemView.g.i.cs,70,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/poweritemview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\PowerItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public PowerItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\PowerItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public PowerItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\PowerItemView.g.i.cs,56,100,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\PowerItemView.g.i.cs,56,65,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\RangedWeaponItemView.g.i.cs,74,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\RangedWeaponItemView.g.i.cs,74,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\RangedWeaponItemView.g.i.cs,70,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/rangedweaponitemview."" +                      ""xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\RangedWeaponItemView.g.i.cs,70,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/rangedweaponitemview."" +                      ""xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\RangedWeaponItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public RangedWeaponItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\RangedWeaponItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public RangedWeaponItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\RangedWeaponItemView.g.i.cs,56,107,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\RangedWeaponItemView.g.i.cs,56,72,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\ItemView.g.i.cs,73,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\ItemView.g.i.cs,73,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\ItemView.g.i.cs,70,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/itemview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\ItemView.g.i.cs,70,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/itemview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\ItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public ItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\ItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public ItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\ItemView.g.i.cs,56,95,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\ItemView.g.i.cs,56,60,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\GearItemView.g.i.cs,73,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\GearItemView.g.i.cs,73,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\GearItemView.g.i.cs,70,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/gearitemview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\GearItemView.g.i.cs,70,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/editor/items/gearitemview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\GearItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public GearItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Editor\Items\GearItemView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public GearItemView()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\GearItemView.g.i.cs,56,99,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
